set,scene,scene_key,prim_count,heuristic,seed,measurement,run,value_ms
A,Utah Teapot,utah_teapot,150000,LongestAxisCentroid,-,render,1,1843.157360
A,Utah Teapot,utah_teapot,150000,LongestAxisCentroid,-,render,2,1851.578600
A,Utah Teapot,utah_teapot,150000,LongestAxisCentroid,-,render,3,1842.471720
A,Utah Teapot,utah_teapot,150000,LongestAxisCentroid,-,render,4,1848.633080
A,Utah Teapot,utah_teapot,150000,LongestAxisCentroid,-,render,5,1862.281520
A,Utah Teapot,utah_teapot,150000,Median,-,build,1,114.367400
A,Utah Teapot,utah_teapot,150000,Median,-,build,2,113.412500
A,Utah Teapot,utah_teapot,150000,Median,-,build,3,107.979100
A,Utah Teapot,utah_teapot,150000,Median,-,build,4,107.872600
A,Utah Teapot,utah_teapot,150000,Median,-,build,5,112.043000
A,Utah Teapot,utah_teapot,150000,Median,-,render,1,712.938200
A,Utah Teapot,utah_teapot,150000,Median,-,render,2,711.840680
A,Utah Teapot,utah_teapot,150000,Median,-,render,3,714.795040
A,Utah Teapot,utah_teapot,150000,Median,-,render,4,714.751760
A,Utah Teapot,utah_teapot,150000,Median,-,render,5,711.938560
A,Utah Teapot,utah_teapot,150000,Sah,-,build,1,389.039500
A,Utah Teapot,utah_teapot,150000,Sah,-,build,2,385.414300
A,Utah Teapot,utah_teapot,150000,Sah,-,build,3,386.713600
A,Utah Teapot,utah_teapot,150000,Sah,-,build,4,392.011300
A,Utah Teapot,utah_teapot,150000,Sah,-,build,5,391.079300
A,Utah Teapot,utah_teapot,150000,Sah,-,render,1,712.378480
A,Utah Teapot,utah_teapot,150000,Sah,-,render,2,826.043800
A,Utah Teapot,utah_teapot,150000,Sah,-,render,3,828.918720
A,Utah Teapot,utah_teapot,150000,Sah,-,render,4,832.692400
A,Utah Teapot,utah_teapot,150000,Sah,-,render,5,826.585160
A,Utah Teapot,utah_teapot,150000,Random,1,build,1,58.666100
A,Utah Teapot,utah_teapot,150000,Random,1,build,2,60.416400
A,Utah Teapot,utah_teapot,150000,Random,1,build,3,58.789400
A,Utah Teapot,utah_teapot,150000,Random,1,build,4,58.965300
A,Utah Teapot,utah_teapot,150000,Random,1,build,5,58.489900
A,Utah Teapot,utah_teapot,150000,Random,1,render,1,571.407240
A,Utah Teapot,utah_teapot,150000,Random,1,render,2,822.719000
A,Utah Teapot,utah_teapot,150000,Random,1,render,3,574.838520
A,Utah Teapot,utah_teapot,150000,Random,1,render,4,574.162920
A,Utah Teapot,utah_teapot,150000,Random,1,render,5,573.231920
A,Utah Teapot,utah_teapot,150000,Random,2,build,1,55.737800
A,Utah Teapot,utah_teapot,150000,Random,2,build,2,51.402200
A,Utah Teapot,utah_teapot,150000,Random,2,build,3,58.134700
A,Utah Teapot,utah_teapot,150000,Random,2,build,4,55.496400
A,Utah Teapot,utah_teapot,150000,Random,2,build,5,55.321400
A,Utah Teapot,utah_teapot,150000,Random,2,render,1,1537.570760
A,Utah Teapot,utah_teapot,150000,Random,2,render,2,1543.905200
A,Utah Teapot,utah_teapot,150000,Random,2,render,3,573.090280
A,Utah Teapot,utah_teapot,150000,Random,2,render,4,1551.168640
A,Utah Teapot,utah_teapot,150000,Random,2,render,5,1545.017000
A,Utah Teapot,utah_teapot,150000,Random,3,build,1,54.348800
A,Utah Teapot,utah_teapot,150000,Random,3,build,2,55.169400
A,Utah Teapot,utah_teapot,150000,Random,3,build,3,59.520300
A,Utah Teapot,utah_teapot,150000,Random,3,build,4,57.208900
A,Utah Teapot,utah_teapot,150000,Random,3,build,5,48.993400
A,Utah Teapot,utah_teapot,150000,Random,3,render,1,1669.172120
A,Utah Teapot,utah_teapot,150000,Random,3,render,2,1667.857080
A,Utah Teapot,utah_teapot,150000,Random,3,render,3,1670.512320
A,Utah Teapot,utah_teapot,150000,Random,3,render,4,1533.034520
A,Utah Teapot,utah_teapot,150000,Random,3,render,5,1670.017760
A,Utah Teapot,utah_teapot,150000,Random,4,build,1,55.278100
A,Utah Teapot,utah_teapot,150000,Random,4,build,2,55.910700
A,Utah Teapot,utah_teapot,150000,Random,4,build,3,55.177400
A,Utah Teapot,utah_teapot,150000,Random,4,build,4,56.270300
A,Utah Teapot,utah_teapot,150000,Random,4,build,5,51.184300
A,Utah Teapot,utah_teapot,150000,Random,4,render,1,1790.343560
A,Utah Teapot,utah_teapot,150000,Random,4,render,2,1780.303320
A,Utah Teapot,utah_teapot,150000,Random,4,render,3,1786.942920
A,Utah Teapot,utah_teapot,150000,Random,4,render,4,1781.430920
A,Utah Teapot,utah_teapot,150000,Random,4,render,5,1670.678960
A,Utah Teapot,utah_teapot,150000,Random,5,build,1,55.846800
A,Utah Teapot,utah_teapot,150000,Random,5,build,2,54.785600
A,Utah Teapot,utah_teapot,150000,Random,5,build,3,50.434900
A,Utah Teapot,utah_teapot,150000,Random,5,build,4,51.063700
A,Utah Teapot,utah_teapot,150000,Random,5,build,5,56.612700
A,Utah Teapot,utah_teapot,150000,Random,5,render,1,1656.239080
A,Utah Teapot,utah_teapot,150000,Random,5,render,2,1652.773920
A,Utah Teapot,utah_teapot,150000,Random,5,render,3,1650.645640
A,Utah Teapot,utah_teapot,150000,Random,5,render,4,1644.029960
A,Utah Teapot,utah_teapot,150000,Random,5,render,5,1664.860400
A,Coral,coral,150000,LongestAxisCentroid,-,build,1,42.460100
A,Coral,coral,150000,LongestAxisCentroid,-,build,2,46.773500
A,Coral,coral,150000,LongestAxisCentroid,-,build,3,41.813900
A,Coral,coral,150000,LongestAxisCentroid,-,build,4,42.726500
A,Coral,coral,150000,LongestAxisCentroid,-,build,5,41.844900
A,Coral,coral,150000,LongestAxisCentroid,-,render,1,2539.367360
A,Coral,coral,150000,LongestAxisCentroid,-,render,2,2544.280680
A,Coral,coral,150000,LongestAxisCentroid,-,render,3,2539.197600
A,Coral,coral,150000,LongestAxisCentroid,-,render,4,2542.600160
A,Coral,coral,150000,LongestAxisCentroid,-,render,5,2543.929560
A,Coral,coral,150000,Median,-,build,1,114.576600
A,Coral,coral,150000,Median,-,build,2,113.842800
A,Coral,coral,150000,Median,-,build,3,120.020100
A,Coral,coral,150000,Median,-,build,4,114.793000
A,Coral,coral,150000,Median,-,build,5,113.799400
A,Coral,coral,150000,Median,-,render,1,823.299680
A,Coral,coral,150000,Median,-,render,2,817.049560
A,Coral,coral,150000,Median,-,render,3,828.736680
A,Coral,coral,150000,Median,-,render,4,818.416880
A,Coral,coral,150000,Median,-,render,5,826.213960
A,Coral,coral,150000,Sah,-,build,1,399.525400
A,Coral,coral,150000,Sah,-,build,2,395.847000
A,Coral,coral,150000,Sah,-,build,3,393.773900
A,Coral,coral,150000,Sah,-,build,4,393.938700
A,Coral,coral,150000,Sah,-,build,5,395.374100
A,Coral,coral,150000,Sah,-,render,1,821.742320
A,Coral,coral,150000,Sah,-,render,2,1058.909320
A,Coral,coral,150000,Sah,-,render,3,1050.211640
A,Coral,coral,150000,Sah,-,render,4,1057.581920
