scene,heuristic,node_visits_per_ray,prim_tests_per_ray,build_time_ms,render_time_ms,node_count,max_depth,avg_depth,avg_leaf_prims,total_sah_cost,interior_visits_per_ray,node_visits_max,node_visits_p95,prim_tests_max,prim_tests_p95,leaf_sah_cost,leaf_count,prim_count,total_rays,total_node_visits,total_prim_tests,incomplete_traversals,unmatched_prims,flattened_index_count,render_time_min_ms,render_time_stddev_ms,width,height,samples,rng_seed,bvh_seed,leaf_cutoff,warmup_runs,timed_runs,adapter,backend
tank,LongestAxisCentroid,26.072743,18.929048,221.9431,336.7485,56897,20,15.2522,13.6451,559.389372,22.823589,1130.000000,73.842105,1831.500000,59.333333,363.082341,28449,388189,4152076,108256012,78594847,0,0,388189,309.0017,16.5474,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
tank,Median,30.045254,23.257356,341.2760,372.0497,65535,15,15.0000,11.8466,684.590364,26.098875,1353.000000,85.312500,1981.000000,72.625000,450.069513,32768,388189,4152076,124750178,96566309,0,0,388189,356.7825,14.6568,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
tank,Sah,3.536811,2.319087,2139.2777,45.3991,57865,22,16.2275,13.4168,84.111026,3.237442,286.000000,8.909091,435.000000,8.333333,58.371417,28933,388189,4152076,14685106,9629027,0,0,388189,41.8905,2.7544,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
tank,Random,9.109750,6.321389,330.1402,123.5971,68753,44,22.8585,11.2921,249.009320,7.753498,530.000000,27.750000,673.000000,23.368421,162.893581,34377,388189,4152076,37824376,26246886,0,0,388189,119.3707,5.0778,640,480,4,305419896,6840143426475589633,20,2,5,NVIDIA GeForce RTX 2060,Vulkan
